example_id,difficulty,model,model_full_name,strategy,ground_truth,predicted_label,correct,format_compliant,is_error,latency_sec,cost_usd,raw_output,review_snippet
1,easy,cardiff,cardiffnlp/twitter-roberta-base-sentiment-latest,zero_shot,Mixed,Negative,False,True,False,3.42,0.0,Negative,"gatwick to venice with british airways. the plane was clean, crew good and reasonably on time, with good check in. but the flight was made unpleasant by ba encouraging people to take so much cabin bag"
2,easy,cardiff,cardiffnlp/twitter-roberta-base-sentiment-latest,zero_shot,Positive,Positive,True,True,False,0.21,0.0,Positive,i flew from london to milan linate on 27th may 2014. firstly the booking process was quick and easy and was matched by an efficient check-in and bag drop procedure too. the staff were well turned out 
3,easy,cardiff,cardiffnlp/twitter-roberta-base-sentiment-latest,zero_shot,Positive,Positive,True,True,False,0.489,0.0,Positive,"   shout out to the help desk at heathrow, we arrived to late to make our flight and the lady (with 32 years exp) was great, she had a tough crowd to deal with and was very kind and helpful in getting"
4,easy,cardiff,cardiffnlp/twitter-roberta-base-sentiment-latest,zero_shot,Positive,Mixed,False,True,False,0.227,0.0,Mixed,british airways short-haul economy product is fine especially if the flight time is only 50 minutes in the air. british airways staff are friendly and professional but why has there been such a drasti
5,easy,cardiff,cardiffnlp/twitter-roberta-base-sentiment-latest,zero_shot,Positive,Positive,True,True,False,0.198,0.0,Positive,"    mexico city to barcelona via london heathrow. the b787 is an incredible plane. the legroom is quite good, the seat is comfortable and the ife has a great number of movies, series and music. the fo"
6,easy,cardiff,cardiffnlp/twitter-roberta-base-sentiment-latest,zero_shot,Positive,Positive,True,True,False,0.173,0.0,Positive,verified review    london heathrow to biarritz. had a very nice flight with good cabin service and informative cockpit crew. first time to experience a 375 ml bottle of champagne on the drinks trolley
7,easy,cardiff,cardiffnlp/twitter-roberta-base-sentiment-latest,zero_shot,Positive,Mixed,False,True,False,0.197,0.0,Mixed,"outbound flight to athens was on time, but return flight delayed by almost 2 hours. due to an equipment change the return was on a b767, and i was seated in the premium economy cabin, which was defini"
8,easy,cardiff,cardiffnlp/twitter-roberta-base-sentiment-latest,zero_shot,Mixed,Mixed,True,True,False,0.173,0.0,Mixed,"  verified review    london heathrow to miami in club world. lounge at terminal 3 was busy and slightly cramped, with basic food offerings. flight left on time. a380 club world layout was roomy. howev"
9,easy,cardiff,cardiffnlp/twitter-roberta-base-sentiment-latest,zero_shot,Mixed,Positive,False,True,False,0.181,0.0,Positive,"heathrow to cape town with british airways. i was aware that the 747 is past it's best but i had two wonderful flights due mainly to the superb service from cabin crew, who are better than any other a"
10,easy,cardiff,cardiffnlp/twitter-roberta-base-sentiment-latest,zero_shot,Positive,Positive,True,True,False,0.174,0.0,Positive,"very nice and helpful staff in terminal 5, very nice and friendly cabin crew. food was good too. very smooth flight and on time. i have flown 6 times in last two weeks with different flights and i was"
11,easy,cardiff,cardiffnlp/twitter-roberta-base-sentiment-latest,zero_shot,Negative,Negative,True,True,False,0.182,0.0,Negative,"     very disappointing experience - flew out on a 747 400 series (should be scrapped!) departed late. loaded aircraft ready for push back, no a/c temperature was excessively hot all flight, no cool a"
12,easy,cardiff,cardiffnlp/twitter-roberta-base-sentiment-latest,zero_shot,Negative,Mixed,False,True,False,0.186,0.0,Mixed,  verified review    keflavik to london heathrow. this time i was among the first few passengers aboard the aircraft. i was travelling with two companions so i had to find the space for 3 trolley case
13,easy,cardiff,cardiffnlp/twitter-roberta-base-sentiment-latest,zero_shot,Negative,Negative,True,True,False,0.176,0.0,Negative,we had a trip with 4 flights included. all 4 flights were delayed. the worst with 2h15min. also one flight was cancelled and we were rebooked to a 4h earlier flight loosing 4h of our short vacation. n
14,easy,cardiff,cardiffnlp/twitter-roberta-base-sentiment-latest,zero_shot,Negative,Mixed,False,True,False,0.211,0.0,Mixed,"  verified review    geneva to dallas via heathrow. i checked online and confirmed i had two bags of allowance to check in with my premium economy seat purchased. however, when i went to the airport t"
15,easy,cardiff,cardiffnlp/twitter-roberta-base-sentiment-latest,zero_shot,Negative,Negative,True,True,False,0.187,0.0,Negative,"stockholm to london heathrow was not a pleasant experience. british airways has a good way of reminding you that you're flying cattle class. the interior was tired and worn, and the seat was hard. the"
16,easy,cardiff,cardiffnlp/twitter-roberta-base-sentiment-latest,zero_shot,Negative,Negative,True,True,False,1.046,0.0,Negative,flew from london to calgary. the seats in the new dreamliner are awful. it was bad enough sitting in the seat but when the person in front of me lowered his seat it became impossible. his seat was rig
17,easy,cardiff,cardiffnlp/twitter-roberta-base-sentiment-latest,zero_shot,Positive,Negative,False,True,False,0.443,0.0,Negative,"    flew british airways to pisa due to flight times and ba miles. overall a poor economy class product. the seats were really tight. staff were ok, but seemed stressed. you had to pay for food in eco"
18,easy,cardiff,cardiffnlp/twitter-roberta-base-sentiment-latest,zero_shot,Mixed,Negative,False,True,False,0.197,0.0,Negative,atl to lhr: boeing 777 (economy). i've just returned from a family holiday in the usa and flew ba economy. the flight was slightly delayed but most of this delay was made up during the journey. staff 
19,easy,cardiff,cardiffnlp/twitter-roberta-base-sentiment-latest,zero_shot,Negative,Negative,True,True,False,0.171,0.0,Negative,"singapore to london heathrow with british airways in premium economy, and abysmal priority boarding. no pre take off drinks. ran out of wine bottle drinks and also ran out of meal choices. seat was tr"
20,easy,cardiff,cardiffnlp/twitter-roberta-base-sentiment-latest,zero_shot,Negative,Negative,True,True,False,0.169,0.0,Negative,"flew british airways from phoenix to london heathrow. i'm trying to research whether this is just the phoenix route but this plane was ancient. the business class seats are dirty and ripped, the enter"
21,hard,cardiff,cardiffnlp/twitter-roberta-base-sentiment-latest,zero_shot,Negative,Positive,False,True,False,0.175,0.0,Positive,"    i had booked business class with my friend as this particular trip was planned to mark a significant milestone in my life, my 50th birthday. on this occasion, i had invested in an upgrade and as s"
22,hard,cardiff,cardiffnlp/twitter-roberta-base-sentiment-latest,zero_shot,Negative,Negative,True,True,False,0.195,0.0,Negative,     san diego to frankfurt via london. it all started when trying to check in online 24h before departure from san diego to heathrow. on long flights like this i always reserve an aisle seat. online 
23,hard,cardiff,cardiffnlp/twitter-roberta-base-sentiment-latest,zero_shot,Negative,Negative,True,True,False,0.226,0.0,Negative,     bridgetown to london gatwick. paid for a business class flight. the onboard service was abysmal. no refreshments offered on boarding. dinner took three hours to be served (on a night flight). my 
24,hard,cardiff,cardiffnlp/twitter-roberta-base-sentiment-latest,zero_shot,Negative,Negative,True,True,False,0.183,0.0,Negative,     london to vancouver. i used to fly this aircraft and route for many years until it was no longer priced competitively. i flew on the 14th and it was a remarkably bad experience. food service was 
25,hard,cardiff,cardiffnlp/twitter-roberta-base-sentiment-latest,zero_shot,Negative,Negative,True,True,False,1.247,0.0,Negative,"    i really can’t believe they have the audacity to call this first class. the check in staff at singapore were abrupt and unhelpful. the official ba lounge in singapore was closed, so they’re using "
26,really_difficult,cardiff,cardiffnlp/twitter-roberta-base-sentiment-latest,zero_shot,Positive,Positive,True,True,False,0.323,0.0,Positive,lhr-bgo on a319. flight on time and only half full. drinks and snack on this early departure. crew very good.
27,really_difficult,cardiff,cardiffnlp/twitter-roberta-base-sentiment-latest,zero_shot,Positive,Positive,True,True,False,0.156,0.0,Positive,gig-lhr b773 newly refurbished cabin. seats were good and comfortable food was reasonable and entertainment was great hd screen with many options.
28,really_difficult,cardiff,cardiffnlp/twitter-roberta-base-sentiment-latest,zero_shot,Negative,Negative,True,True,False,0.175,0.0,Negative,  verified review    i am shocked about how the first class on board service has deteriorated with very evident cost cutting on what is supposed to be our national flag carrier. on our flight to tokyo
29,really_difficult,cardiff,cardiffnlp/twitter-roberta-base-sentiment-latest,zero_shot,Positive,Mixed,False,True,False,0.224,0.0,Mixed,lgw - paphos 4th june. check in and fast track security was very easy and we were airside within 5 minutes. as we were flying at 2.45 we decided to have some lunch in the lounge. the lounge was busy b
30,really_difficult,cardiff,cardiffnlp/twitter-roberta-base-sentiment-latest,zero_shot,Negative,Negative,True,True,False,0.193,0.0,Negative,"  verified review    my mother who is 79 years old who is not too well and myself, booked business class tickets on ba676 to istanbul on 7th jan 2017 and requested disabled person assistance for my mo"
1,easy,cardiff,cardiffnlp/twitter-roberta-base-sentiment-latest,few_shot,Mixed,Negative,False,True,False,0.174,0.0,Negative,"gatwick to venice with british airways. the plane was clean, crew good and reasonably on time, with good check in. but the flight was made unpleasant by ba encouraging people to take so much cabin bag"
2,easy,cardiff,cardiffnlp/twitter-roberta-base-sentiment-latest,few_shot,Positive,Positive,True,True,False,0.193,0.0,Positive,i flew from london to milan linate on 27th may 2014. firstly the booking process was quick and easy and was matched by an efficient check-in and bag drop procedure too. the staff were well turned out 
